127.0.0.1 - - [21/Jun/2022:17:36:02 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [21/Jun/2022:17:36:03 +0530] "GET /SHOES/index.jsp HTTP/1.1" 200 32267
0:0:0:0:0:0:0:1 - - [21/Jun/2022:17:36:03 +0530] "GET /SHOES/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2022:17:36:03 +0530] "GET /SHOES/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2022:17:36:03 +0530] "GET /SHOES/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2022:17:36:03 +0530] "GET /SHOES/images/s1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2022:17:36:03 +0530] "GET /SHOES/images/s2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2022:17:36:03 +0530] "GET /SHOES/images/s3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2022:17:36:03 +0530] "GET /SHOES/images/s4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2022:17:36:03 +0530] "GET /SHOES/images/s6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2022:17:36:03 +0530] "GET /SHOES/images/s5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2022:17:36:03 +0530] "GET /SHOES/images/s8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2022:17:36:03 +0530] "GET /SHOES/images/s7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2022:17:36:03 +0530] "GET /SHOES/images/img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2022:17:36:03 +0530] "GET /SHOES/images/s9.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2022:17:36:03 +0530] "GET /SHOES/images/img3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2022:17:36:03 +0530] "GET /SHOES/images/img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2022:17:36:03 +0530] "GET /SHOES/images/banner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2022:17:36:03 +0530] "GET /SHOES/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2022:17:36:03 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [21/Jun/2022:17:36:05 +0530] "GET /SHOES/seller-registration.jsp HTTP/1.1" 200 12534
0:0:0:0:0:0:0:1 - - [21/Jun/2022:17:36:22 +0530] "POST /SHOES/SellerController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jun/2022:17:36:22 +0530] "GET /SHOES/seller-login.jsp HTTP/1.1" 200 12183
0:0:0:0:0:0:0:1 - - [21/Jun/2022:17:38:05 +0530] "GET /SHOES/index.jsp HTTP/1.1" 200 32267
0:0:0:0:0:0:0:1 - - [21/Jun/2022:17:38:10 +0530] "GET /SHOES/seller-registration.jsp HTTP/1.1" 200 12534
0:0:0:0:0:0:0:1 - - [21/Jun/2022:17:38:29 +0530] "POST /SHOES/SellerController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jun/2022:17:38:29 +0530] "GET /SHOES/seller-login.jsp HTTP/1.1" 200 12183
0:0:0:0:0:0:0:1 - - [21/Jun/2022:17:42:14 +0530] "GET /SHOES/index.html HTTP/1.1" 200 31516
0:0:0:0:0:0:0:1 - - [21/Jun/2022:17:47:51 +0530] "GET /SHOES/blog.html HTTP/1.1" 200 18767
0:0:0:0:0:0:0:1 - - [21/Jun/2022:17:47:51 +0530] "GET /SHOES/images/img5.jpg HTTP/1.1" 200 198380
0:0:0:0:0:0:0:1 - - [21/Jun/2022:17:47:51 +0530] "GET /SHOES/images/img4.jpg HTTP/1.1" 200 126621
0:0:0:0:0:0:0:1 - - [21/Jun/2022:17:47:51 +0530] "GET /SHOES/images/img6.jpg HTTP/1.1" 200 89272
0:0:0:0:0:0:0:1 - - [21/Jun/2022:17:47:51 +0530] "GET /SHOES/images/img7.jpg HTTP/1.1" 200 228766
0:0:0:0:0:0:0:1 - - [21/Jun/2022:17:48:02 +0530] "GET /SHOES/about.html HTTP/1.1" 200 23838
0:0:0:0:0:0:0:1 - - [21/Jun/2022:17:48:02 +0530] "GET /SHOES/images/about.jpg HTTP/1.1" 200 432048
0:0:0:0:0:0:0:1 - - [21/Jun/2022:17:48:26 +0530] "GET /SHOES/contact.html HTTP/1.1" 200 13015
