127.0.0.1 - - [23/Jul/2022:16:09:31 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [23/Jul/2022:16:09:33 +0530] "GET /male_fashion/index.jsp HTTP/1.1" 200 38290
0:0:0:0:0:0:0:1 - - [23/Jul/2022:16:09:33 +0530] "GET /male_fashion/css/elegant-icons.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2022:16:09:33 +0530] "GET /male_fashion/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2022:16:09:33 +0530] "GET /male_fashion/css/magnific-popup.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2022:16:09:33 +0530] "GET /male_fashion/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2022:16:09:33 +0530] "GET /male_fashion/css/nice-select.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2022:16:09:33 +0530] "GET /male_fashion/css/owl.carousel.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2022:16:09:33 +0530] "GET /male_fashion/css/slicknav.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2022:16:09:33 +0530] "GET /male_fashion/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2022:16:09:33 +0530] "GET /male_fashion/js/jquery-3.3.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2022:16:09:33 +0530] "GET /male_fashion/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2022:16:09:33 +0530] "GET /male_fashion/js/jquery.nice-select.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2022:16:09:33 +0530] "GET /male_fashion/js/jquery.nicescroll.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2022:16:09:33 +0530] "GET /male_fashion/js/jquery.countdown.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2022:16:09:33 +0530] "GET /male_fashion/js/jquery.magnific-popup.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2022:16:09:33 +0530] "GET /male_fashion/js/jquery.slicknav.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2022:16:09:33 +0530] "GET /male_fashion/js/mixitup.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2022:16:09:33 +0530] "GET /male_fashion/js/owl.carousel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2022:16:09:33 +0530] "GET /male_fashion/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2022:16:09:33 +0530] "GET /male_fashion/img/icon/search.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2022:16:09:33 +0530] "GET /male_fashion/img/icon/heart.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2022:16:09:33 +0530] "GET /male_fashion/img/icon/cart.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2022:16:09:33 +0530] "GET /male_fashion/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2022:16:09:33 +0530] "GET /male_fashion/img/product-sale.png HTTP/1.1" 200 177162
0:0:0:0:0:0:0:1 - - [23/Jul/2022:16:09:33 +0530] "GET /male_fashion/img/icon/compare.png HTTP/1.1" 200 509
0:0:0:0:0:0:0:1 - - [23/Jul/2022:16:09:33 +0530] "GET /male_fashion/img/banner/banner-2.jpg HTTP/1.1" 200 21431
0:0:0:0:0:0:0:1 - - [23/Jul/2022:16:09:33 +0530] "GET /male_fashion/img/banner/banner-3.jpg HTTP/1.1" 200 15425
0:0:0:0:0:0:0:1 - - [23/Jul/2022:16:09:33 +0530] "GET /male_fashion/img/banner/banner-1.jpg HTTP/1.1" 200 33480
0:0:0:0:0:0:0:1 - - [23/Jul/2022:16:09:33 +0530] "GET /male_fashion/img/icon/calendar.png HTTP/1.1" 200 1144
0:0:0:0:0:0:0:1 - - [23/Jul/2022:16:09:33 +0530] "GET /male_fashion/img/footer-logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2022:16:09:33 +0530] "GET /male_fashion/img/payment.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2022:16:09:33 +0530] "GET /male_fashion/fonts/ElegantIcons.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2022:16:09:34 +0530] "GET /male_fashion/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2022:16:09:34 +0530] "GET /male_fashion/img/product/product-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2022:16:09:34 +0530] "GET /male_fashion/img/product/product-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2022:16:09:34 +0530] "GET /male_fashion/img/product/product-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2022:16:09:34 +0530] "GET /male_fashion/img/product/product-4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2022:16:09:34 +0530] "GET /male_fashion/img/product/product-5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2022:16:09:34 +0530] "GET /male_fashion/img/product/product-6.jpg HTTP/1.1" 304 -
